InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV385423,S00035,Product 035,5,30-09-2024,113.2,C1107,Germany
INV852975,S00102,Product 102,1,18-05-2024,109.45,C1095,Spain
INV424164,S00061,Product 061,8,26-02-2024,18.36,C1045,Spain
INV231248,S00094,Product 094,5,03-12-2024,149.92,C1036,Spain
INV118873,S00058,Product 058,7,23-06-2025,141.4,C1103,United Kingdom
INV304028,S00059,Product 059,9,08-02-2024,134.7,C1052,Germany
INV923215,S00072,Product 072,4,05-06-2025,94.1,C1003,France
INV593752,S00115,Product 115,6,18-05-2025,79.37,C1086,USA
INV995348,S00053,Product 053,1,17-06-2024,81.37,C1041,India
INV293617,S00071,Product 071,8,19-01-2025,4.21,C1112,USA
INV416330,S00110,Product 110,1,10-04-2024,75.92,C1102,France
INV246885,S00045,Product 045,5,05-04-2025,94.32,C1012,Germany
INV458541,S00100,Product 100,4,01-03-2025,99.49,C1108,France
INV606984,S00064,Product 064,1,03-08-2024,51.16,C1113,India
INV827315,S00105,Product 105,5,11-02-2024,71.75,C1090,Spain
INV431283,S00056,Product 056,9,13-08-2025,96.17,C1033,Spain
INV794377,S00075,Product 075,2,27-09-2024,65.39,C1080,France
INV663542,S00039,Product 039,3,27-06-2025,144.4,C1104,India
INV362630,S00076,Product 076,2,16-02-2025,106.41,C1097,USA
INV920983,S00039,Product 039,2,18-04-2025,2.19,C1051,India
INV490820,S00073,Product 073,3,07-04-2025,5.45,C1084,France
INV235893,S00094,Product 094,6,28-04-2024,104.16,C1046,USA
INV966428,S00052,Product 052,8,09-08-2024,63.07,C1030,USA
INV922089,S00052,Product 052,7,10-10-2024,126.24,C1080,India
INV144587,S00039,Product 039,7,29-10-2024,27.61,C1055,USA
INV912240,S00087,Product 087,7,27-01-2024,4.05,C1026,Germany
INV952638,S00071,Product 071,4,28-11-2024,59.44,C1079,France
INV846177,S00062,Product 062,9,03-04-2024,110.94,C1038,Germany
INV329496,S00004,Product 004,2,27-03-2025,145.82,C1070,France
INV668156,S00014,Product 014,7,19-02-2025,132.78,C1043,India
INV584416,S00001,Product 001,1,14-07-2025,73.64,C1106,India
INV658131,S00102,Product 102,7,28-03-2025,122.3,C1102,United Kingdom
INV654798,S00102,Product 102,1,10-08-2024,12.41,C1056,India
INV675290,S00009,Product 009,-2,11-08-2025,86.7,C1085,Germany
INV562600,S00006,Product 006,4,06-09-2024,138.8,C1021,Germany
INV721445,S00093,Product 093,7,17-07-2024,60.67,C1119,Spain
INV573945,S00063,Product 063,1,04-07-2025,144.09,C1025,Germany
INV114833,S00037,Product 037,3,13-08-2024,34.66,C1104,USA
INV131753,S00074,Product 074,4,16-02-2024,17.63,C1101,United Kingdom
INV962282,S00029,Product 029,7,12-10-2024,79.66,C1021,United Kingdom
INV918324,S00024,Product 024,9,28-04-2025,136.27,C1001,India
INV627042,S00044,Product 044,6,25-04-2024,48.07,C1088,Germany
INV257130,S00107,Product 107,5,08-10-2024,120.42,C1104,India
INV803318,S00092,Product 092,4,19-03-2024,27.04,C1085,India
INV228961,S00023,Product 023,8,21-02-2025,112.34,C1006,Germany
INV439553,S00067,Product 067,1,16-10-2024,84.44,C1077,Spain
INV396873,S00106,Product 106,2,19-07-2024,27.9,C1046,Spain
INV111157,S00114,Product 114,2,17-05-2024,108.28,C1109,United Kingdom
INV826308,S00091,Product 091,3,09-12-2024,107.64,C1096,India
INV558760,S00016,Product 016,5,11-02-2025,78.28,C1095,USA
INV384627,S00029,Product 029,9,25-07-2025,35.37,C1048,USA
INV556470,S00027,Product 027,6,22-09-2024,21.58,C1038,United Kingdom
INV100000,S00018,Product 018,4,07-04-2024,143.67,C1098,Germany
INV493289,S00021,Product 021,2,21-05-2025,99.06,C1013,India
INV567622,S00038,Product 038,6,17-01-2025,121.77,C1012,Germany
INV405745,S00067,Product 067,3,01-03-2025,105.15,C1007,Spain
INV847341,S00048,Product 048,9,29-02-2024,124.76,C1061,France
INV324843,S00051,Product 051,5,08-07-2024,26.05,C1009,Germany
INV224042,S00030,Product 030,-5,11-04-2025,75.55,C1069,Spain
INV574789,S00018,Product 018,9,21-05-2025,100.73,C1020,Germany
INV898548,S00119,Product 119,3,21-09-2024,17.3,C1106,United Kingdom
INV437749,S00072,Product 072,5,04-05-2025,24.19,C1051,Spain
INV141962,S00028,Product 028,5,26-05-2025,95.83,C1011,Germany
INV972937,S00097,Product 097,3,23-08-2024,130.57,C1083,Germany
INV499867,S00099,Product 099,1,30-06-2025,99.74,C1040,India
INV255634,S00116,Product 116,3,24-06-2024,7.36,C1031,Spain
INV654052,S00019,Product 019,2,25-05-2024,145.62,C1079,Spain
INV387698,S00077,Product 077,7,18-02-2025,22.65,C1114,United Kingdom
INV944011,S00117,Product 117,1,22-01-2025,36.42,C1117,United Kingdom
INV364564,S00096,Product 096,3,25-03-2024,146.3,C1052,France
INV595121,S00027,Product 027,8,21-05-2025,116.11,C1101,France
INV588977,S00107,Product 107,6,01-05-2024,140.61,C1025,France
INV318196,S00051,Product 051,7,04-05-2025,121.38,C1101,United Kingdom
INV549351,S00059,Product 059,7,05-01-2024,98.46,C1113,USA
INV198164,S00067,Product 067,3,29-04-2025,44.11,C1062,France
INV679365,S00092,Product 092,6,23-04-2025,50.38,C1062,India
INV782485,S00015,Product 015,2,19-04-2025,142.2,C1067,France
INV955000,S00065,Product 065,-6,08-02-2025,129.37,C1008,France
INV393202,S00098,Product 098,7,13-10-2024,55.2,C1103,United Kingdom
INV356698,S00066,Product 066,8,04-03-2025,57.24,C1088,India
INV593927,S00033,Product 033,9,17-06-2024,46.06,C1104,United Kingdom
INV723493,S00007,Product 007,1,19-04-2025,50.27,C1013,India
INV993217,S00066,Product 066,3,03-12-2024,129.38,C1096,USA
INV122536,S00084,Product 084,5,06-10-2024,3.56,C1043,France
INV314474,S00066,Product 066,3,03-11-2024,66.54,C1098,USA
INV336149,S00117,Product 117,6,11-12-2024,141.54,C1119,India
INV329843,S00072,Product 072,8,23-01-2024,82.31,C1105,United Kingdom
INV517347,S00061,Product 061,3,25-03-2024,68.67,C1109,Germany
INV885618,S00007,Product 007,9,29-05-2024,48.23,C1013,Spain
INV127895,S00067,Product 067,8,10-03-2024,12.94,C1039,India
INV834256,S00021,Product 021,9,24-09-2024,35.22,C1035,United Kingdom
INV655901,S00087,Product 087,1,10-02-2025,15.39,C1061,India
INV653679,S00020,Product 020,3,01-02-2025,20.75,C1117,India
INV710478,S00108,Product 108,2,13-10-2024,26.2,C1082,United Kingdom
INV203867,S00036,Product 036,2,03-06-2025,46.7,C1065,USA
INV772057,S00052,Product 052,1,09-12-2024,3.63,C1096,Spain
INV323318,S00018,Product 018,4,18-02-2024,142.62,C1021,Spain
INV564916,S00026,Product 026,-1,10-04-2025,20.33,C1079,United Kingdom
INV709189,S00110,Product 110,3,15-12-2024,58.71,C1060,Spain
INV643549,S00034,Product 034,9,20-01-2025,132.17,C1024,France
INV390812,S00062,Product 062,8,09-12-2024,17.77,C1077,France
INV456458,S00117,Product 117,9,02-12-2024,73.57,C1100,India
INV528859,S00075,Product 075,1,25-02-2024,127.03,C1099,Germany
INV137127,S00005,Product 005,6,05-12-2024,84.43,C1101,United Kingdom
INV753437,S00043,Product 043,6,28-04-2025,33.13,C1097,France
INV189956,S00047,Product 047,2,03-07-2024,110.86,C1056,India
INV512724,S00033,Product 033,9,01-01-2025,102.84,C1005,United Kingdom
INV689495,S00029,Product 029,4,19-01-2024,55.6,C1115,USA
INV172352,S00060,Product 060,9,30-07-2024,8.85,C1054,India
INV995998,S00045,Product 045,2,22-09-2024,3.16,C1075,USA
INV439500,S00036,Product 036,6,20-08-2025,124.16,C1002,France
INV114222,S00050,Product 050,2,10-05-2024,49.59,C1106,United Kingdom
INV692769,S00041,Product 041,9,17-06-2024,22.39,C1106,Germany
INV601824,S00028,Product 028,6,05-09-2024,78.75,C1111,Spain
INV676298,S00054,Product 054,1,26-08-2025,138.28,C1020,Spain
INV775907,S00113,Product 113,2,02-06-2025,3.26,C1101,India
INV528069,S00061,Product 061,4,22-01-2024,10.31,C1074,India
INV844096,S00072,Product 072,1,22-05-2024,63.72,C1017,India
INV433134,S00118,Product 118,1,14-05-2025,102.04,C1068,Spain
INV590683,S00074,Product 074,9,05-02-2024,72.46,C1057,United Kingdom
INV242663,S00027,Product 027,9,04-06-2025,134.84,C1075,Spain
INV657923,S00048,Product 048,5,20-06-2024,8.52,C1010,India
INV335436,S00059,Product 059,9,11-07-2025,52.34,C1067,USA
INV727051,S00057,Product 057,6,27-06-2024,54,C1081,USA
INV820948,S00018,Product 018,1,21-09-2024,52.34,C1085,United Kingdom
INV873068,S00013,Product 013,7,06-02-2025,74.18,C1092,France
INV936172,S00042,Product 042,1,17-03-2024,119.01,C1075,Spain
INV210060,S00109,Product 109,8,04-12-2024,49.05,C1084,Germany
INV224192,S00086,Product 086,4,03-11-2024,112.18,C1010,France
INV933563,S00101,Product 101,2,21-04-2025,23.68,C1095,United Kingdom
INV442744,S00021,Product 021,3,28-08-2025,84.99,C1044,Germany
INV123415,S00050,Product 050,7,07-02-2025,57.51,C1065,United Kingdom
INV358290,S00070,Product 070,8,05-09-2024,81.8,C1065,USA
INV852578,S00052,Product 052,6,04-09-2024,17.95,C1117,USA
INV419490,S00050,Product 050,2,11-09-2024,143.11,C1039,France
INV169066,S00043,Product 043,9,09-05-2025,136.12,C1046,United Kingdom
INV749897,S00007,Product 007,8,14-07-2024,124.31,C1091,France
INV275165,S00103,Product 103,4,11-04-2024,134.13,C1076,France
INV417521,S00112,Product 112,5,22-07-2024,23.71,C1038,Germany
INV103504,S00010,Product 010,9,14-01-2024,76.55,C1041,Spain
INV641796,S00050,Product 050,4,05-03-2024,49.05,C1099,USA
INV500730,S00062,Product 062,1,24-02-2024,133.33,C1100,USA
INV880343,S00094,Product 094,2,14-04-2025,30.04,C1017,USA
INV400922,S00118,Product 118,6,15-03-2025,34.55,C1047,India
INV284144,S00050,Product 050,9,27-02-2025,103.63,C1092,United Kingdom
INV249393,S00090,Product 090,7,07-10-2024,15.16,C1014,Spain
INV280142,S00112,Product 112,6,11-03-2025,110.39,C1022,Spain
INV505980,S00099,Product 099,3,08-04-2024,41.68,C1019,United Kingdom
INV178449,S00035,Product 035,4,01-07-2025,99.82,C1063,United Kingdom
INV462133,S00098,Product 098,1,31-10-2024,131.21,C1054,Spain
INV869212,S00050,Product 050,4,24-07-2025,92.22,C1038,India
INV790894,S00003,Product 003,6,02-04-2024,33.48,C1016,Germany
INV673533,S00091,Product 091,9,29-10-2024,9.28,C1076,France
INV903816,S00100,Product 100,9,27-02-2025,8.6,C1096,United Kingdom
INV802192,S00041,Product 041,8,28-10-2024,15.14,C1025,United Kingdom
INV687309,S00054,Product 054,1,28-09-2024,87.81,C1079,Spain
INV876759,S00044,Product 044,8,11-04-2024,53.54,C1095,Spain
INV211969,S00014,Product 014,2,19-08-2024,37.98,C1066,India
INV836431,S00119,Product 119,6,25-05-2024,34.46,C1068,USA
INV365851,S00003,Product 003,9,02-07-2024,142.39,C1020,Germany
INV759755,S00067,Product 067,8,19-02-2025,19.58,C1114,France
INV921985,S00002,Product 002,6,18-01-2025,47.11,C1114,USA
INV546422,S00083,Product 083,3,04-01-2025,71.78,C1085,United Kingdom
INV179860,S00108,Product 108,5,07-08-2024,2.07,C1108,India
INV433205,S00077,Product 077,7,06-08-2025,138.3,C1072,USA
INV466169,S00073,Product 073,5,23-02-2024,16.67,C1079,United Kingdom
INV943060,S00099,Product 099,4,27-07-2024,103.01,C1099,United Kingdom
INV948253,S00116,Product 116,4,12-03-2024,95.07,C1004,India
INV611618,S00103,Product 103,6,25-07-2024,121.74,C1026,France
INV955597,S00028,Product 028,1,07-08-2025,98.41,C1024,USA
INV492661,S00068,Product 068,9,10-08-2024,115.87,C1075,Spain
INV470082,S00098,Product 098,1,06-07-2025,64.34,C1029,Spain
INV852855,S00036,Product 036,9,27-10-2024,74.33,C1046,Germany
INV700656,S00081,Product 081,-1,01-03-2025,105.85,C1059,Germany
INV570138,S00003,Product 003,5,05-10-2024,86.13,C1089,Germany
INV511070,S00105,Product 105,4,10-06-2024,77.71,C1062,United Kingdom
INV735044,S00074,Product 074,6,09-04-2025,32.42,C1002,United Kingdom
INV778113,S00089,Product 089,4,12-08-2025,40.2,C1082,USA
INV541530,S00099,Product 099,9,09-06-2024,55.06,C1051,United Kingdom
INV128423,S00027,Product 027,1,18-04-2025,3.37,C1013,Spain
INV191652,S00054,Product 054,9,07-06-2024,63.77,C1078,Spain
INV229741,S00103,Product 103,7,11-03-2025,2.41,C1032,United Kingdom
INV515878,S00020,Product 020,8,24-04-2025,85.62,C1055,USA
INV652778,S00098,Product 098,2,30-09-2024,106.2,C1116,Spain
INV823389,S00035,Product 035,1,24-03-2025,85.2,C1028,United Kingdom
INV309296,S00069,Product 069,4,14-06-2024,104.64,C1106,United Kingdom
INV807937,S00061,Product 061,3,18-02-2024,2,C1055,India
INV699446,S00082,Product 082,8,28-02-2024,10.8,C1111,Spain
INV146491,S00100,Product 100,9,28-09-2024,105.37,C1101,France
INV416100,S00042,Product 042,4,02-07-2025,120.83,C1099,France
INV372393,S00021,Product 021,7,18-03-2024,108.22,C1024,United Kingdom
INV897980,S00051,Product 051,1,04-10-2024,100.13,C1094,United Kingdom
INV929076,S00073,Product 073,7,04-03-2025,106.69,C1044,Spain
INV837332,S00090,Product 090,1,03-05-2024,111.46,C1109,France
INV575205,S00090,Product 090,7,14-03-2025,109.21,C1118,Germany
INV543553,S00041,Product 041,4,05-07-2024,111.23,C1073,France
INV380337,S00112,Product 112,4,06-05-2025,12.95,C1109,Spain
INV795604,S00010,Product 010,3,18-12-2024,11.36,C1063,Germany
INV177653,S00014,Product 014,4,28-11-2024,55.45,C1004,France
INV344023,S00003,Product 003,8,17-04-2024,80.08,C1104,Germany
INV221688,S00111,Product 111,8,08-10-2024,114.87,C1063,Spain
INV544833,S00022,Product 022,4,04-06-2025,51.54,C1005,United Kingdom
INV369780,S00072,Product 072,3,12-01-2024,42.72,C1007,USA
INV277733,S00097,Product 097,5,06-04-2025,117.65,C1086,Spain
INV438771,S00092,Product 092,7,26-10-2024,38.9,C1110,Germany
INV874796,S00113,Product 113,2,13-03-2025,123.48,C1083,India
INV602208,S00007,Product 007,7,07-02-2025,28.22,C1052,USA
INV840760,S00049,Product 049,9,19-09-2024,55.2,C1036,United Kingdom
INV922513,S00061,Product 061,8,06-07-2024,61.36,C1050,Germany
INV911933,S00083,Product 083,5,16-01-2025,46.33,C1038,United Kingdom
INV415899,S00075,Product 075,3,26-03-2024,2.5,C1032,United Kingdom
INV889728,S00067,Product 067,3,21-12-2024,36.86,C1015,India
INV918437,S00037,Product 037,7,27-02-2024,51.97,C1068,Germany
INV963635,S00013,Product 013,5,30-01-2025,48.42,C1026,France
INV415902,S00052,Product 052,1,17-01-2025,118.26,C1017,India
INV305502,S00031,Product 031,7,21-02-2024,9.01,C1033,Spain
INV625845,S00066,Product 066,2,05-04-2025,59.56,C1095,India
INV938640,S00095,Product 095,9,09-09-2024,7.55,C1068,United Kingdom
INV910557,S00066,Product 066,4,23-04-2025,139.74,C1058,USA
INV614091,S00070,Product 070,4,26-01-2024,118.95,C1071,United Kingdom
INV234315,S00005,Product 005,1,19-04-2024,147.36,C1067,India
INV480245,S00077,Product 077,2,27-10-2024,136.7,C1059,Spain
INV742708,S00053,Product 053,9,24-04-2024,48.74,C1100,France
INV604335,S00015,Product 015,5,19-07-2024,104.35,C1087,USA
INV410924,S00026,Product 026,9,05-02-2025,47.37,C1022,USA
INV408341,S00093,Product 093,9,28-03-2024,133.46,C1098,United Kingdom
INV153774,S00110,Product 110,1,16-02-2025,62.79,C1021,USA
INV359697,S00061,Product 061,4,03-03-2024,57.63,C1009,Germany
INV702438,S00117,Product 117,8,16-04-2024,137.28,C1050,India
INV317182,S00022,Product 022,5,23-12-2024,125.84,C1047,India
INV994052,S00036,Product 036,5,27-04-2025,145.03,C1094,Spain
INV174185,S00111,Product 111,6,13-04-2024,11.84,C1083,USA
INV629895,S00021,Product 021,7,01-07-2024,38.01,C1007,India
INV546907,S00079,Product 079,9,16-07-2025,46.53,C1059,Spain
INV849972,S00027,Product 027,8,24-08-2025,64.8,C1095,Germany
INV898984,S00040,Product 040,6,19-12-2024,72.02,C1087,France
INV589130,S00057,Product 057,6,28-09-2024,45.14,C1060,USA
INV667136,S00043,Product 043,4,29-07-2024,118.99,C1073,Germany
INV729057,S00105,Product 105,2,07-01-2025,35.04,C1067,USA
INV568877,S00116,Product 116,7,25-12-2024,105.08,C1027,Germany
INV266399,S00060,Product 060,1,28-06-2024,128.06,C1067,Spain
INV485733,S00063,Product 063,7,14-01-2024,91.35,C1081,Spain
INV317397,S00007,Product 007,5,02-04-2024,54.42,C1006,Germany
INV517960,S00028,Product 028,8,05-08-2025,29.81,C1083,France
INV653638,S00005,Product 005,9,11-09-2024,21.88,C1029,United Kingdom
INV288349,S00102,Product 102,5,20-10-2024,112.14,C1000,France
INV324482,S00028,Product 028,6,11-10-2024,71.43,C1090,USA
INV840641,S00041,Product 041,5,20-04-2025,8.86,C1046,United Kingdom
INV439958,S00101,Product 101,4,09-02-2024,147.61,C1049,USA
INV278544,S00085,Product 085,1,20-02-2024,101.35,C1074,India
INV741855,S00074,Product 074,1,16-06-2024,126.94,C1067,India
INV744959,S00005,Product 005,7,22-10-2024,66.85,C1074,Germany
INV843542,S00067,Product 067,9,12-02-2025,143.4,C1113,USA
INV783985,S00067,Product 067,1,25-10-2024,31.53,C1078,Germany
INV992770,S00038,Product 038,3,25-09-2024,29.4,C1005,Spain
INV617381,S00089,Product 089,6,24-07-2025,133.77,C1026,United Kingdom
INV358139,S00111,Product 111,7,07-04-2024,133.97,C1053,USA
INV876632,S00031,Product 031,7,13-12-2024,75.85,C1056,India
INV338333,S00040,Product 040,7,25-11-2024,20.62,C1043,United Kingdom
INV361945,S00039,Product 039,1,14-10-2024,47.17,C1022,Spain
INV845644,S00100,Product 100,3,06-05-2025,113.61,C1012,Germany
INV893454,S00010,Product 010,5,11-06-2024,127.21,C1017,France
INV405406,S00107,Product 107,1,02-08-2025,53.45,C1114,Spain
INV756468,S00093,Product 093,4,20-07-2024,11.06,C1047,USA
INV930154,S00058,Product 058,4,27-11-2024,100.53,C1115,Germany
INV818874,S00070,Product 070,9,12-11-2024,111.45,C1040,United Kingdom
INV104494,S00107,Product 107,3,31-05-2025,64.75,C1037,France
INV698121,S00092,Product 092,9,23-09-2024,88.3,C1058,USA
INV252902,S00033,Product 033,7,22-06-2024,148.13,C1113,India
INV861707,S00006,Product 006,7,14-01-2024,38.26,C1067,United Kingdom
INV160336,S00079,Product 079,8,09-08-2024,86.8,C1004,United Kingdom
INV993787,S00018,Product 018,8,17-05-2025,92.42,C1032,India
INV259595,S00011,Product 011,3,07-01-2024,83.27,C1117,India
INV478146,S00117,Product 117,4,28-06-2025,130.63,C1018,Spain
INV310676,S00057,Product 057,5,26-11-2024,91.54,C1100,United Kingdom
INV832523,S00078,Product 078,9,26-03-2024,77.17,C1111,Germany
INV454148,S00026,Product 026,1,02-07-2024,20.21,C1025,USA
INV770121,S00013,Product 013,5,02-12-2024,106.07,C1067,United Kingdom
INV160496,S00008,Product 008,2,10-07-2024,21.55,C1071,Germany
INV507582,S00043,Product 043,2,07-03-2024,5.93,C1095,France
INV919945,S00001,Product 001,7,08-02-2025,74.3,C1095,India
INV934253,S00050,Product 050,2,12-02-2025,86.72,C1007,India
INV287823,S00039,Product 039,8,13-03-2024,149.86,C1038,Spain
INV454982,S00063,Product 063,9,19-06-2024,107.42,C1112,France
INV468202,S00071,Product 071,7,28-05-2024,127.59,C1042,France
INV608918,S00037,Product 037,2,04-02-2025,53.27,C1029,United Kingdom
INV583602,S00055,Product 055,-2,20-03-2025,77.32,C1075,Germany
INV195348,S00010,Product 010,4,18-03-2025,146.19,C1023,Germany
INV786399,S00036,Product 036,5,24-07-2025,63.77,C1017,United Kingdom
INV303197,S00117,Product 117,8,12-04-2025,121.48,C1095,India
INV383446,S00118,Product 118,4,13-07-2024,79.85,C1014,France
INV856625,S00058,Product 058,2,06-03-2024,35.15,C1106,Spain
INV720686,S00112,Product 112,9,08-01-2025,87.9,C1029,Germany
INV456897,S00060,Product 060,9,10-07-2025,34.27,C1012,Spain
INV921225,S00015,Product 015,6,15-08-2025,2.45,C1088,United Kingdom
INV454675,S00104,Product 104,7,19-05-2024,36.91,C1021,India
INV608945,S00050,Product 050,9,23-05-2024,30.59,C1043,India
INV321382,S00073,Product 073,5,23-01-2024,56.9,C1042,Germany
INV264874,S00078,Product 078,2,26-03-2024,133.51,C1060,Germany
INV542448,S00037,Product 037,6,03-12-2024,59.4,C1056,India
INV606716,S00088,Product 088,5,28-11-2024,127.09,C1023,Germany
INV825234,S00060,Product 060,8,13-08-2024,84.23,C1028,Germany
INV451813,S00044,Product 044,7,07-07-2024,3.13,C1023,France
INV905646,S00036,Product 036,5,19-05-2025,29.93,C1006,USA
INV646645,S00089,Product 089,4,06-10-2024,139.83,C1078,France
INV163102,S00030,Product 030,4,06-05-2025,91.42,C1056,Germany
INV765190,S00015,Product 015,6,08-08-2025,139.57,C1013,Spain
INV617338,S00105,Product 105,6,11-07-2024,47.9,C1039,France
INV450417,S00040,Product 040,5,03-05-2024,108.05,C1080,Spain
INV520545,S00077,Product 077,5,02-08-2025,116.26,C1034,France
INV371611,S00086,Product 086,9,20-01-2025,146.4,C1048,Spain
INV652853,S00100,Product 100,3,25-06-2024,4.69,C1089,France
INV610255,S00075,Product 075,2,13-01-2025,142.93,C1080,France
INV502547,S00085,Product 085,8,09-11-2024,59.96,C1084,France
INV356677,S00100,Product 100,9,04-07-2025,126.02,C1045,France
INV458779,S00113,Product 113,6,04-06-2024,82.62,C1058,USA
INV548053,S00006,Product 006,4,25-08-2025,85.57,C1101,Germany
INV524692,S00089,Product 089,4,23-07-2025,55.19,C1104,India
INV378362,S00021,Product 021,5,19-04-2024,124.61,C1006,India
INV623798,S00107,Product 107,1,10-04-2024,41.07,C1100,Spain
INV303892,S00006,Product 006,5,20-11-2024,74.85,C1107,Germany
INV550884,S00030,Product 030,3,28-01-2024,84.91,C1113,France
INV209394,S00023,Product 023,-3,30-06-2024,111.89,C1032,USA
INV524929,S00072,Product 072,6,21-09-2024,71.8,C1060,Germany
INV805581,S00001,Product 001,9,12-08-2025,102.68,C1005,Spain
INV836050,S00003,Product 003,2,26-08-2025,73.82,C1013,India
INV725223,S00061,Product 061,9,02-04-2024,99.58,C1067,Spain
INV771082,S00116,Product 116,5,26-06-2025,101.77,C1024,United Kingdom
INV159354,S00063,Product 063,9,25-02-2024,107,C1026,Spain
INV407240,S00054,Product 054,4,31-03-2025,123.85,C1035,Germany
INV688824,S00079,Product 079,9,29-05-2025,82.03,C1055,USA
INV820518,S00066,Product 066,6,25-06-2025,30.61,C1018,France
INV624563,S00046,Product 046,7,15-05-2024,102.59,C1096,France
INV868284,S00071,Product 071,6,27-06-2025,13.41,C1080,USA
INV345757,S00001,Product 001,5,11-03-2024,34.41,C1094,France
INV238142,S00030,Product 030,5,11-11-2024,119.24,C1111,Germany
INV177742,S00081,Product 081,8,12-10-2024,66.39,C1072,USA
INV624413,S00041,Product 041,8,11-07-2024,75.71,C1043,Spain
INV698665,S00007,Product 007,1,14-01-2024,148.13,C1117,Spain
INV356780,S00015,Product 015,7,14-04-2025,36.81,C1067,United Kingdom
INV805290,S00104,Product 104,8,23-07-2024,4.89,C1055,France
INV765254,S00040,Product 040,7,06-02-2025,18.48,C1049,France
INV424119,S00003,Product 003,5,06-09-2024,38.19,C1004,Germany
INV314906,S00087,Product 087,4,15-08-2024,109.44,C1114,Spain
INV768084,S00064,Product 064,7,22-06-2025,116.82,C1098,Germany
INV704262,S00054,Product 054,6,27-02-2024,85.69,C1083,France
INV253707,S00107,Product 107,4,23-03-2025,39.75,C1026,India
INV329611,S00038,Product 038,4,30-03-2025,79.22,C1111,India
INV537369,S00069,Product 069,4,19-08-2024,4.21,C1021,Germany
INV560028,S00089,Product 089,1,08-06-2024,102.91,C1028,Germany
INV249362,S00073,Product 073,1,04-01-2024,92.92,C1008,United Kingdom
INV953780,S00025,Product 025,1,23-07-2025,5.23,C1034,France
INV449783,S00082,Product 082,4,30-07-2025,122.92,C1039,United Kingdom
INV443176,S00089,Product 089,5,26-05-2024,114.99,C1095,United Kingdom
INV154479,S00015,Product 015,4,20-01-2024,47.62,C1039,USA
INV888163,S00020,Product 020,9,15-03-2024,96.04,C1114,USA
INV311629,S00081,Product 081,3,11-02-2024,91.02,C1036,Spain
INV988249,S00015,Product 015,4,20-05-2025,23.19,C1062,India
INV546415,S00105,Product 105,3,26-06-2025,30.6,C1071,France
INV887364,S00014,Product 014,3,03-04-2024,103.11,C1099,Spain
INV261209,S00116,Product 116,6,30-03-2025,140.17,C1090,USA
INV249279,S00080,Product 080,3,18-04-2024,87.29,C1104,United Kingdom
INV821001,S00053,Product 053,3,11-08-2024,86.04,C1112,France
INV837691,S00032,Product 032,7,30-12-2024,97.71,C1014,United Kingdom
INV588783,S00041,Product 041,8,13-03-2025,67.21,C1011,India
INV128934,S00090,Product 090,2,15-06-2025,10.02,C1053,India
INV949349,S00090,Product 090,2,28-01-2024,60.68,C1018,India
INV453971,S00025,Product 025,3,29-04-2024,135.24,C1059,Spain
INV942385,S00065,Product 065,6,19-06-2024,121.13,C1070,France
INV883659,S00119,Product 119,9,07-07-2024,139.26,C1033,United Kingdom
